question_id,arm,difficulty,retrieval_type,parametric_known,abstained,retrieved_clauses,citations,answer,faithfulness,answer_relevancy,context_precision,context_recall
q01,A,hard,sibling_disambiguation,False,False,2.1.4;2.1.1;2.1.10,2.1.4,The minimum milk fat percentage required for Evaporated Milk is 7.5% (m/m).,1.0,0.9500461941052284,0.9999999999,1.0
q01,B,hard,sibling_disambiguation,False,False,2.1.4;2.1.5;2.1.10,2.1.4,The minimum milk fat percentage required for Evaporated Milk is 7.5 % (m/m).,1.0,0.9500461941052284,0.9999999999,1.0
q01,C,hard,sibling_disambiguation,False,False,2.1.4;2.1.5;2.1.8,2.1.4,The minimum milk fat percentage required for Evaporated Milk is 7.5 % (m/m).,1.0,0.9500461941052284,0.9999999999,1.0
q02,A,hard,sibling_disambiguation,True,False,2.1.9;2.1.8;2.2.4,2.1.9,The minimum milk fat percentage required for Table Butter is 80.0 %.,1.0,1.0,0.9999999999,1.0
q02,B,hard,sibling_disambiguation,True,False,2.1.9;2.1.8;2.7.4,2.1.9,The minimum milk fat percentage required for Table Butter is 80.0%.,1.0,1.0,0.9999999999,1.0
q02,C,hard,sibling_disambiguation,True,False,2.1.9;2.1.8;2.1.7,2.1.9,The minimum milk fat percentage required for Table Butter is 80.0 %.,1.0,1.0,0.9999999999,1.0
q03,A,hard,sibling_disambiguation,False,False,2.4.2;2.4.1;2.4.17-2.4.18,2.4.2,The minimum gluten content required for Maida (refined wheat flour) is 7.5% on dry mass basis.,1.0,0.9765282851768049,0.9999999999,1.0
q03,B,hard,sibling_disambiguation,False,False,2.4.2;2.4.1;2.4.22,2.4.2,The minimum gluten content required for Maida (refined wheat flour) is 7.5% on dry mass basis.,1.0,0.9765282851768049,0.9999999999,1.0
q03,C,hard,sibling_disambiguation,False,False,2.4.2;2.4.1;2.4.22,2.4.2,The minimum gluten content required for Maida (refined wheat flour) is 7.5% on dry mass basis.,1.0,0.9765282851768049,0.9999999999,1.0
q04,A,hard,sibling_disambiguation,False,False,2.4.4-2.4.5;2.4.27-2.4.28;2.4.17-2.4.18,2.4.4,The minimum protein content required for Besan is 20.0% by mass (on dry basis).,1.0,0.9153631368326373,0.9999999999,1.0
q04,B,hard,sibling_disambiguation,False,False,2.4.4-2.4.5;2.4.6;2.4.27-2.4.28,2.4.4,The minimum protein content required for Besan is 20.0% by mass (on dry basis).,1.0,0.8586592893546108,0.9999999999,1.0
q04,C,hard,sibling_disambiguation,False,False,2.4.4-2.4.5;2.4.32-2.4.33;2.4.27-2.4.28,2.4.4,The minimum protein content required for Besan is 20.0% by mass (on dry basis).,1.0,0.9153631368326373,0.99999999995,1.0
q05,A,hard,sibling_disambiguation,False,False,2.9.2;2.9.2;2.9.24-2.9.26,2.9.2,The maximum ash insoluble in dilute HCl on dry basis permitted in Cardamom (Chhoti Elaichi) powder is not more than 3.0 percent by weight.,1.0,0.9511916288325487,0.9999999999,1.0
